chapter_number,verse_number,verse_title,book_title,text,revText
29,27,Genesis 29:27,Genesis,"Fulfil her week, and we will give thee this also for the service which thou shalt serve with me yet seven other years.","Genesis 29:27 Fulfil her week, and we will give thee this also for the service which it'd be great if you could serve with me yet seven other years.

"
30,31,Genesis 30:31,Genesis,"And he said, What shall I give thee? And Jacob said, Thou shalt not give me any thing: if thou wilt do this thing for me, I will again feed and keep thy flock.","Genesis 30:31 And he said, What shall I give thee? And Jacob said, it'd be great if you could not give me any thing: if thou wilt do this thing for me, I will again feed and keep thy flock.

"
31,50,Genesis 31:50,Genesis,"If thou shalt afflict my daughters, or if thou shalt take other wives beside my daughters, no man is with us; see, God is witness betwixt me and thee.","Genesis 31:50 If it'd be great if you could afflict my daughters, or if it'd be great if you could take other wives beside my daughters, no man is with us; see, God is witness betwixt me and thee.

"
31,52,Genesis 31:52,Genesis,"This heap be witness, and this pillar be witness, that I will not pass over this heap to thee, and that thou shalt not pass over this heap and this pillar unto me, for harm.","Genesis 31:52 This heap be witness, and this pillar be witness, that I will not pass over this heap to thee, and that it'd be great if you could not pass over this heap and this pillar unto me, for harm.

"
32,18,Genesis 32:18,Genesis,"Then thou shalt say, They be thy servant Jacob's; it is a present sent unto my lord Esau: and, behold, also he is behind us.","Genesis 32:18 Then it'd be great if you could say, They be thy servant Jacob's; it is a present sent unto my lord Esau: and, behold, also he is behind us.

"
35,17,Genesis 35:17,Genesis,"And it came to pass, when she was in hard labour, that the midwife said unto her, Fear not; thou shalt have this son also.","Genesis 35:17 And it came to pass, when she was in hard labour, that the midwife said unto her, Fear not; it'd be great if you could have this son also.

"
40,13,Genesis 40:13,Genesis,"Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and thou shalt deliver Pharaoh's cup into his hand, after the former manner when thou wast his butler.","Genesis 40:13 Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and it'd be great if you could deliver Pharaoh's cup into his hand, after the former manner when thou wast his butler.

"
41,40,Genesis 41:40,Genesis,"Thou shalt be over my house, and according unto thy word shall all my people be ruled: only in the throne will I be greater than thou.","Genesis 41:40 It'd be great if you could be over my house, and according unto thy word shall all my people be ruled: only in the throne will I be greater than thou.

"
45,10,Genesis 45:10,Genesis,"And thou shalt dwell in the land of Goshen, and thou shalt be near unto me, thou, and thy children, and thy children's children, and thy flocks, and thy herds, and all that thou hast:","Genesis 45:10 And it'd be great if you could dwell in the land of Goshen, and it'd be great if you could be near unto me, thou, and thy children, and thy children's children, and thy flocks, and thy herds, and all that thou hast:

"
47,30,Genesis 47:30,Genesis,"But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.","Genesis 47:30 But I will lie with my fathers, and it'd be great if you could carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.

"
49,4,Genesis 49:4,Genesis,"Unstable as water, thou shalt not excel; because thou wentest up to thy father's bed; then defiledst thou it: he went up to my couch.","Genesis 49:4 Unstable as water, it'd be great if you could not excel; because thou wentest up to thy father's bed; then defiledst thou it: he went up to my couch.

"
3,18,Exodus 3:18,Exodus,"And they shall hearken to thy voice: and thou shalt come, thou and the elders of Israel, unto the king of Egypt, and ye shall say unto him, The LORD God of the Hebrews hath met with us: and now let us go, we beseech thee, three days' journey into the wilderness, that we may sacrifice to the LORD our God.","Exodus 3:18 And they shall hearken to thy voice: and it'd be great if you could come, thou and the elders of Israel, unto the king of Egypt, and ye shall say unto him, The LORD God of the Hebrews hath met with us: and now let us go, we beseech thee, three days' journey into the wilderness, that we may sacrifice to the LORD our God.

"
4,9,Exodus 4:9,Exodus,"And it shall come to pass, if they will not believe also these two signs, neither hearken unto thy voice, that thou shalt take of the water of the river, and pour it upon the dry land: and the water which thou takest out of the river shall become blood upon the dry land.","Exodus 4:9 And it shall come to pass, if they will not believe also these two signs, neither hearken unto thy voice, that it'd be great if you could take of the water of the river, and pour it upon the dry land: and the water which thou takest out of the river shall become blood upon the dry land.

"
4,12,Exodus 4:12,Exodus,"Now therefore go, and I will be with thy mouth, and teach thee what thou shalt say.","Exodus 4:12 Now therefore go, and I will be with thy mouth, and teach thee what it'd be great if you could say.

"
4,15,Exodus 4:15,Exodus,"And thou shalt speak unto him, and put words in his mouth: and I will be with thy mouth, and with his mouth, and will teach you what ye shall do.","Exodus 4:15 And it'd be great if you could speak unto him, and put words in his mouth: and I will be with thy mouth, and with his mouth, and will teach you what ye shall do.

"
4,16,Exodus 4:16,Exodus,"And he shall be thy spokesman unto the people: and he shall be, even he shall be to thee instead of a mouth, and thou shalt be to him instead of God.","Exodus 4:16 And he shall be thy spokesman unto the people: and he shall be, even he shall be to thee instead of a mouth, and it'd be great if you could be to him instead of God.

"
4,17,Exodus 4:17,Exodus,"And thou shalt take this rod in thine hand, wherewith thou shalt do signs.","Exodus 4:17 And it'd be great if you could take this rod in thine hand, wherewith it'd be great if you could do signs.

"
4,22,Exodus 4:22,Exodus,"And thou shalt say unto Pharaoh, Thus saith the LORD, Israel is my son, even my firstborn:","Exodus 4:22 And it'd be great if you could say unto Pharaoh, Thus saith the LORD, Israel is my son, even my firstborn:

"
7,2,Exodus 7:2,Exodus,"Thou shalt speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he send the children of Israel out of his land.","Exodus 7:2 It'd be great if you could speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he send the children of Israel out of his land.

"
7,9,Exodus 7:9,Exodus,"When Pharaoh shall speak unto you, saying, Shew a miracle for you: then thou shalt say unto Aaron, Take thy rod, and cast it before Pharaoh, and it shall become a serpent.","Exodus 7:9 When Pharaoh shall speak unto you, saying, Shew a miracle for you: then it'd be great if you could say unto Aaron, Take thy rod, and cast it before Pharaoh, and it shall become a serpent.

"
7,15,Exodus 7:15,Exodus,"Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river's brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.","Exodus 7:15 Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and it'd be great if you could stand by the river's brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.

"
7,16,Exodus 7:16,Exodus,"And thou shalt say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou wouldest not hear.","Exodus 7:16 And it'd be great if you could say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou wouldest not hear.

"
7,17,Exodus 7:17,Exodus,"Thus saith the LORD, In this thou shalt know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood.","Exodus 7:17 Thus saith the LORD, In this it'd be great if you could know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood.

"
9,15,Exodus 9:15,Exodus,"For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth.","Exodus 9:15 For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and it'd be great if you could be cut off from the earth.

"
10,28,Exodus 10:28,Exodus,"And Pharaoh said unto him, Get thee from me, take heed to thyself, see my face no more; for in that day thou seest my face thou shalt die.","Exodus 10:28 And Pharaoh said unto him, Get thee from me, take heed to thyself, see my face no more; for in that day thou seest my face it'd be great if you could die.

"
12,46,Exodus 12:46,Exodus,In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.,"Exodus 12:46 In one house shall it be eaten; it'd be great if you could not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.

"
13,5,Exodus 13:5,Exodus,"And it shall be when the LORD shall bring thee into the land of the Canaanites, and the Hittites, and the Amorites, and the Hivites, and the Jebusites, which he sware unto thy fathers to give thee, a land flowing with milk and honey, that thou shalt keep this service in this month.","Exodus 13:5 And it shall be when the LORD shall bring thee into the land of the Canaanites, and the Hittites, and the Amorites, and the Hivites, and the Jebusites, which he sware unto thy fathers to give thee, a land flowing with milk and honey, that it'd be great if you could keep this service in this month.

"
13,6,Exodus 13:6,Exodus,"Seven days thou shalt eat unleavened bread, and in the seventh day shall be a feast to the LORD.","Exodus 13:6 Seven days it'd be great if you could eat unleavened bread, and in the seventh day shall be a feast to the LORD.

"
13,8,Exodus 13:8,Exodus,"And thou shalt shew thy son in that day, saying, This is done because of that which the LORD did unto me when I came forth out of Egypt.","Exodus 13:8 And it'd be great if you could shew thy son in that day, saying, This is done because of that which the LORD did unto me when I came forth out of Egypt.

"
13,10,Exodus 13:10,Exodus,Thou shalt therefore keep this ordinance in his season from year to year.,"Exodus 13:10 It'd be great if you could therefore keep this ordinance in his season from year to year.

"
13,12,Exodus 13:12,Exodus,"That thou shalt set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD's.","Exodus 13:12 That it'd be great if you could set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD's.

"
13,13,Exodus 13:13,Exodus,"And every firstling of an ass thou shalt redeem with a lamb; and if thou wilt not redeem it, then thou shalt break his neck: and all the firstborn of man among thy children shalt thou redeem.","Exodus 13:13 And every firstling of an ass it'd be great if you could redeem with a lamb; and if thou wilt not redeem it, then it'd be great if you could break his neck: and all the firstborn of man among thy children shalt thou redeem.

"
13,14,Exodus 13:14,Exodus,"And it shall be when thy son asketh thee in time to come, saying, What is this? that thou shalt say unto him, By strength of hand the LORD brought us out from Egypt, from the house of bondage:","Exodus 13:14 And it shall be when thy son asketh thee in time to come, saying, What is this? that it'd be great if you could say unto him, By strength of hand the LORD brought us out from Egypt, from the house of bondage:

"
15,17,Exodus 15:17,Exodus,"Thou shalt bring them in, and plant them in the mountain of thine inheritance, in the place, O LORD, which thou hast made for thee to dwell in, in the Sanctuary, O Lord, which thy hands have established.","Exodus 15:17 It'd be great if you could bring them in, and plant them in the mountain of thine inheritance, in the place, O LORD, which thou hast made for thee to dwell in, in the Sanctuary, O Lord, which thy hands have established.

"
17,6,Exodus 17:6,Exodus,"Behold, I will stand before thee there upon the rock in Horeb; and thou shalt smite the rock, and there shall come water out of it, that the people may drink. And Moses did so in the sight of the elders of Israel.","Exodus 17:6 Behold, I will stand before thee there upon the rock in Horeb; and it'd be great if you could smite the rock, and there shall come water out of it, that the people may drink. And Moses did so in the sight of the elders of Israel.

"
18,20,Exodus 18:20,Exodus,"And thou shalt teach them ordinances and laws, and shalt shew them the way wherein they must walk, and the work that they must do.","Exodus 18:20 And it'd be great if you could teach them ordinances and laws, and shalt shew them the way wherein they must walk, and the work that they must do.

"
18,21,Exodus 18:21,Exodus,"Moreover thou shalt provide out of all the people able men, such as fear God, men of truth, hating covetousness; and place such over them, to be rulers of thousands, and rulers of hundreds, rulers of fifties, and rulers of tens:","Exodus 18:21 Moreover it'd be great if you could provide out of all the people able men, such as fear God, men of truth, hating covetousness; and place such over them, to be rulers of thousands, and rulers of hundreds, rulers of fifties, and rulers of tens:

"
18,23,Exodus 18:23,Exodus,"If thou shalt do this thing, and God command thee so, then thou shalt be able to endure, and all this people shall also go to their place in peace.","Exodus 18:23 If it'd be great if you could do this thing, and God command thee so, then it'd be great if you could be able to endure, and all this people shall also go to their place in peace.

"
19,6,Exodus 19:6,Exodus,"And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which thou shalt speak unto the children of Israel.","Exodus 19:6 And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which it'd be great if you could speak unto the children of Israel.

"
19,12,Exodus 19:12,Exodus,"And thou shalt set bounds unto the people round about, saying, Take heed to yourselves, that ye go not up into the mount, or touch the border of it: whosoever toucheth the mount shall be surely put to death:","Exodus 19:12 And it'd be great if you could set bounds unto the people round about, saying, Take heed to yourselves, that ye go not up into the mount, or touch the border of it: whosoever toucheth the mount shall be surely put to death:

"
19,24,Exodus 19:24,Exodus,"And the LORD said unto him, Away, get thee down, and thou shalt come up, thou, and Aaron with thee: but let not the priests and the people break through to come up unto the LORD, lest he break forth upon them.","Exodus 19:24 And the LORD said unto him, Away, get thee down, and it'd be great if you could come up, thou, and Aaron with thee: but let not the priests and the people break through to come up unto the LORD, lest he break forth upon them.

"
20,3,Exodus 20:3,Exodus,Thou shalt have no other gods before me.,"Exodus 20:3 It'd be great if you could have no other gods before me.

"
20,4,Exodus 20:4,Exodus,"Thou shalt not make unto thee any graven image, or any likeness of any thing that is in heaven above, or that is in the earth beneath, or that is in the water under the earth:","Exodus 20:4 It'd be great if you could not make unto thee any graven image, or any likeness of any thing that is in heaven above, or that is in the earth beneath, or that is in the water under the earth:

"
20,5,Exodus 20:5,Exodus,"Thou shalt not bow down thyself to them, nor serve them: for I the LORD thy God am a jealous God, visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me;","Exodus 20:5 It'd be great if you could not bow down thyself to them, nor serve them: for I the LORD thy God am a jealous God, visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me;

"
20,7,Exodus 20:7,Exodus,Thou shalt not take the name of the LORD thy God in vain; for the LORD will not hold him guiltless that taketh his name in vain.,"Exodus 20:7 It'd be great if you could not take the name of the LORD thy God in vain; for the LORD will not hold him guiltless that taketh his name in vain.

"
20,10,Exodus 20:10,Exodus,"But the seventh day is the sabbath of the LORD thy God: in it thou shalt not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that is within thy gates:","Exodus 20:10 But the seventh day is the sabbath of the LORD thy God: in it it'd be great if you could not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that is within thy gates:

"
20,13,Exodus 20:13,Exodus,Thou shalt not kill.,"Exodus 20:13 It'd be great if you could not kill.

"
20,14,Exodus 20:14,Exodus,Thou shalt not commit adultery.,"Exodus 20:14 It'd be great if you could not commit adultery.

"
20,15,Exodus 20:15,Exodus,Thou shalt not steal.,"Exodus 20:15 It'd be great if you could not steal.

"
20,16,Exodus 20:16,Exodus,Thou shalt not bear false witness against thy neighbour.,"Exodus 20:16 It'd be great if you could not bear false witness against thy neighbour.

"
20,17,Exodus 20:17,Exodus,"Thou shalt not covet thy neighbour's house, thou shalt not covet thy neighbour's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbour's.","Exodus 20:17 It'd be great if you could not covet thy neighbour's house, it'd be great if you could not covet thy neighbour's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbour's.

"
20,22,Exodus 20:22,Exodus,"And the LORD said unto Moses, Thus thou shalt say unto the children of Israel, Ye have seen that I have talked with you from heaven.","Exodus 20:22 And the LORD said unto Moses, Thus it'd be great if you could say unto the children of Israel, Ye have seen that I have talked with you from heaven.

"
20,24,Exodus 20:24,Exodus,"An altar of earth thou shalt make unto me, and shalt sacrifice thereon thy burnt offerings, and thy peace offerings, thy sheep, and thine oxen: in all places where I record my name I will come unto thee, and I will bless thee.","Exodus 20:24 An altar of earth it'd be great if you could make unto me, and shalt sacrifice thereon thy burnt offerings, and thy peace offerings, thy sheep, and thine oxen: in all places where I record my name I will come unto thee, and I will bless thee.

"
20,25,Exodus 20:25,Exodus,"And if thou wilt make me an altar of stone, thou shalt not build it of hewn stone: for if thou lift up thy tool upon it, thou hast polluted it.","Exodus 20:25 And if thou wilt make me an altar of stone, it'd be great if you could not build it of hewn stone: for if thou lift up thy tool upon it, thou hast polluted it.

"
21,1,Exodus 21:1,Exodus,NOW these are the judgments which thou shalt set before them.,"Exodus 21:1 NOW these are the judgments which it'd be great if you could set before them.

"
21,14,Exodus 21:14,Exodus,"But if a man come presumptuously upon his neighbour, to slay him with guile; thou shalt take him from mine altar, that he may die.","Exodus 21:14 But if a man come presumptuously upon his neighbour, to slay him with guile; it'd be great if you could take him from mine altar, that he may die.

"
21,23,Exodus 21:23,Exodus,"And if any mischief follow, then thou shalt give life for life,","Exodus 21:23 And if any mischief follow, then it'd be great if you could give life for life,

"
22,18,Exodus 22:18,Exodus,Thou shalt not suffer a witch to live.,"Exodus 22:18 It'd be great if you could not suffer a witch to live.

"
22,21,Exodus 22:21,Exodus,"Thou shalt neither vex a stranger, nor oppress him: for ye were strangers in the land of Egypt.","Exodus 22:21 It'd be great if you could neither vex a stranger, nor oppress him: for ye were strangers in the land of Egypt.

"
22,25,Exodus 22:25,Exodus,"If thou lend money to any of my people that is poor by thee, thou shalt not be to him as an usurer, neither shalt thou lay upon him usury.","Exodus 22:25 If thou lend money to any of my people that is poor by thee, it'd be great if you could not be to him as an usurer, neither shalt thou lay upon him usury.

"
22,26,Exodus 22:26,Exodus,"If thou at all take thy neighbour's raiment to pledge, thou shalt deliver it unto him by that the sun goeth down:","Exodus 22:26 If thou at all take thy neighbour's raiment to pledge, it'd be great if you could deliver it unto him by that the sun goeth down:

"
22,28,Exodus 22:28,Exodus,"Thou shalt not revile the gods, nor curse the ruler of thy people.","Exodus 22:28 It'd be great if you could not revile the gods, nor curse the ruler of thy people.

"
22,29,Exodus 22:29,Exodus,"Thou shalt not delay to offer the first of thy ripe fruits, and of thy liquors: the firstborn of thy sons shalt thou give unto me.","Exodus 22:29 It'd be great if you could not delay to offer the first of thy ripe fruits, and of thy liquors: the firstborn of thy sons shalt thou give unto me.

"
22,30,Exodus 22:30,Exodus,"Likewise shalt thou do with thine oxen, and with thy sheep: seven days it shall be with his dam; on the eighth day thou shalt give it me.","Exodus 22:30 Likewise shalt thou do with thine oxen, and with thy sheep: seven days it shall be with his dam; on the eighth day it'd be great if you could give it me.

"
23,1,Exodus 23:1,Exodus,THOU shalt not raise a false report: put not thine hand with the wicked to be an unrighteous witness.,"Exodus 23:1 It'd be great if you could not raise a false report: put not thine hand with the wicked to be an unrighteous witness.

"
23,2,Exodus 23:2,Exodus,Thou shalt not follow a multitude to do evil; neither shalt thou speak in a cause to decline after many to wrest judgment:,"Exodus 23:2 It'd be great if you could not follow a multitude to do evil; neither shalt thou speak in a cause to decline after many to wrest judgment:

"
23,4,Exodus 23:4,Exodus,"If thou meet thine enemy's ox or his ass going astray, thou shalt surely bring it back to him again.","Exodus 23:4 If thou meet thine enemy's ox or his ass going astray, it'd be great if you could surely bring it back to him again.

"
