"","uid","cluster","size","begin","end","category","contributor","date","id","issue","lang","series","text","heading","url","altSource","corpus","ed","seq","firstPageId","title"
"167715",3404588941659462144,321785,177,98,8221,"News","null","1856-10-02","5GCL-1856-OCT02-002-013","5GCL-1856-OCT02","null","84026542","Requarly Sold.-During the monthl of January,
1850, two gentlemen from New York, one of
whom had been in California nearly a year, and
the other just arrived, were accidentally over­
heard in the following conversation at the Sutter
House, Sacramento. The new comer was la­
menting his condition, and his folly in leaving
an abundance at home, and especially two beau­
tiful daughters who were just budding into wo­
mandood-when he asked the other if he had a
family?
""Yes, sir, I have. I have a wife and six chil­
dren in New York-and I never saw one of
them!""
Afer this reply the couple sat a few moments
in silence, and the interrogator again com­
ineuced:
""Were you ever blind sir?""
""No, sir.""
""Did you marry a widow, sir?""
""No sir.""
Another lapse of.silence.
""Did I understand you to say, sir, that you
had a wife and six children living in New York,
and had never seen one of them?""
""Yes, sir-I so stated it.""
Another and a long pause of. silence. Then
the interrogator again inquired:
""HI1ow can it be, sir, that you never saw one
of them?""
""Why,"" was the response, ""one of them was
born after I left.""
""Oh! ah!"" and a general laugh followed.
After that the first New Yorker was especially
distinguiished as ""the man who has six children
and never saw one of them","Reguarly Sold","null","null","gale-us","null","null","null","Fayetteville Observer [Semi-Weekly] (Fayetteville, NC)"
"167716",8740275454516521984,321785,177,139780,148936,"null","null","1856-10-02","sn84026925/1856-10-02/ed-1/seq-4","sn84026925/1856-10-02/ed-1","null","sn84026925","l""
REGULARLY SOLD.
Two gentlemen from New York, one of:
whom had been in California nearly a year,
and the other just arrived, were accidentally
overheard in the following conversation 1
at the Sutter House, Sacramento. The new ,
comer was lamenting his condition, and his I
fully in leaving an abundance at home, and
especially two beautiful daughters who were ;
just budding into womanhood?when he as- j
ked the other if had a family.
'Yes, sir, 1 have. I have a wife and six :
children in New York?and I never saw one !
of them.""
After this the couple sat a few moments in j
silence, and then the interrogator again coin- '
tnenccd :
'Were you ever blind, sir ?'

?No, sir.' 7
'Did you marry a widow, sir?'
'No, sir.'
Another lapse of silence.
'Did I understand you to say, s?., that you
had a wife aud six children living in New
York, and had never seen one of them V
'Yes, sir?I so stated it.'
Another and a longer pause of silence. !
Then the interrogator again inquired :
'IIow can it be, sir, that you never saw :
one of them V
'Why,' was the rosponse, 'one of ihcm was
born after I left.'
'Oh ! ah !' and a general laugh followed.
After that the first New Yorker was especially
distinguished as ""the man who has
six children and never saw one of thoin.' I
A Wrinkle about the","null","http://chroniclingamerica.loc.gov/lccn/sn84026925/1856-10-02/ed-1/seq-4/print/image_600x600_from_3037%2C386_to_4133%2C2760/","null","ca","1","4","null","Yorkville enquirer. (Yorkville, S.C.) 1855-2006"
"167717",-1433281387258706176,321785,177,31383,41500,"null","null","1856-10-02","sn85033395/1856-10-02/ed-1/seq-4","sn85033395/1856-10-02/ed-1","null","sn85033395","Regttlarl Sold Out.
Duringtbe month of January,1850,
while stopping at the Sutter ' House,
in Sacramento City, California, I acci
dentally overheard a conversation bet­
ween two gentlemen, one of whom
was- from New York city, and ' had
been in the country nearly; a year,
and the oth?r hid just arrived
The new corner was lamenting bis F
condition, and his folly in leaving an
abund inc3 at home, and especially
two - beautiful daughters, who were
justbudding into worn mhood when
a family. ' - - -
""Yes, sir; I have a wife v and six
children in New Yorkand I n?ve r
saw .one of them."" . ; . . . v . .
After this Yeply, tha pouple sat'a
few moments in silence? then ; the; in­
terrogator again commenced:
Was you ever blind, sii?"" V,
""No, sir."" ... .';
'Did vou mirry a widow, sir?'"""":
No; sir.""; ; '
Another lapse of silence. ' ""
""Did I understand you to say, sir,
that-you had a wife and six children
living id JN e w 1 ork, and have never
seen one of :them?,V- V
""Yes, sir --1 so stated it? .
Another long , pius ; of , silence,
The interrogater again inquired: - C
""How can. that , be, sir, that yon
never saw one of them. ' -'.;,',"";.'
ltWhy, was tho response, .""oneSof
them was born utter I left. ........ J
Oh I ah I"" and a general langh fol
lowed; and after th it the New Yorker
was especially distinguished as the man
who hid ''six children and never , saw
one of them.' - '' ' ""'
Did any","null","http://chroniclingamerica.loc.gov/lccn/sn85033395/1856-10-02/ed-1/seq-4/print/image_600x600_from_1810%2C1342_to_2948%2C4873/","null","ca","1","4","null","Fayetteville Observer"
"167718",-4613389472616818688,321785,177,134,1792,"Article","Phil Saturday Post","1856-10-04","aps/125185480","aps/34597/1856-10-04","eng","aps/34597","Some time since, while stopping at the Sutter House in Sacramento City, California, I accidentally overheard a conversation between two gentlemen, one of whom was from New York city, and had been in the country nearly a year, and the other had just arrived.
                 The new-comer was lamenting his condition and his folly in leaving an abundance at home, and especially two beautiful daughters, who were just budding into womanhood-when ho asked the Now Yorker if he had a family.
                 "" Yes, sir, I have a wife and six children in New York-and I never saw one of them.""
                 After this reply, the couple sat a few moments in silence, then the interrogator again commenced:
                 ""Was you over blind, sirs"" ""No, sir.""
                 ""Did you marry a widow, sir t""
                 No, sir.""
                 Another lapse of silence.
                 "" Did I understand you to say, sir, that you had a wife and six children living in New York, and had never seen one of them I""
                 "" Yes, sir-I so stated it.""
                 Another and a longer pause of silence; then the interrogator again inquired:
                 ""How can it be, sir, that you never saw one ofthem I""
                 ""Why,"" was the response, ""one of them was born after I Ieft.""
                 "" 0, ah I"" and a general laugh followed; and after that the New Yorker was especially distinguished as the man who "" had six children and
                 i never saw one ot them.""
                 -Phil. Saturday","REGULARLY SOLD OUT.","http://search.proquest.com/docview/125185480/fulltext/","null","aps","null","null","null","Flag of Our Union (1854-1870)"
"167719",7562752237860311040,321785,177,13478,20439,"Arts &amp; Popular Culture","null","1856-10-11","WO1_PNCH_1856_10_11-0007-029","WO1_PNCH_1856_10_11","null","PNCH","Cumaroory RwAwnDzD.-At the Sutter House, Sacramento, a
Now Yorker, newly arrived, was lamenting his condition, and his
folly in leaving an abundance at home, andespeclallytwo beautful
daughters, who were just budding into womanhood, when he
asked the other If he hads family. ""Yes, sirI I have a wife and
six children In New York and I never saw one of them."" After
this reply the couple sat down in sl~ence, and then the interrogator
again commenced:-"" Were you ever blind, sir?"" ""No, air.""
""-Did you marry a widow, sir?"" ""No, sir."" Another lapse of
silence. ""-DId I understand you to say, sir,that youhada wife and
six children living In New York,and had never seen oneof them ?""
""Yes, sir! I so stated it."" Another and a longer pause of silence.
Then the interrogator again inquired:-"" How can it be, sir, that
you never saw one of them ?"" "" Why,"" was the response,"" cise
of them was horn after I left""-."" Oh I ahI"" and a general laugh
followed. After that, the first New Yorker was especially dis.
tinguished as ""' the man who had six children and never saw one
of them.""
"" Picriso-up"" A LADY.-The","Borrowed Cristies.","null","null","gale-uk","null","null","null","Preston Chronicle"
"167720",3283571067475712000,321785,177,73638,83293,"null","null","1856-10-15","sn87065521/1856-10-15/ed-1/seq-1","sn87065521/1856-10-15/ed-1","null","sn87065521","Tin

of the

ri S C ; VA. 1 , A NhXHJS.
REGULARLY SOLD CUT.

Some time since;, while .stop­
ping at the Suitor House in
Sacramento City, California, I
accidenially overboard .a con­
ersation between two gentle­
men, one of whom was from
Now York city, and had been
in the comurv nearlv a year,
and theodjer had just amved.
The new comer was lament­
ing his condition and his foil
m leaving an jdmndance t
borne, and especially two beau­
tiful daughters, who were just
budding into womanhood
when he asked the New York­
er it he had a family.
'Yes, sir, 1 have a wife and
six children in New York
and .never saw one of diem.""

Alter this reply, the couple
sat a lew moments in silence;
then tbe interrogator again

commenced:

kVas vou ever blind, sir?

""No, sir'
Did you marry a widow
sir?-'

""No, sir'
""Did understand you

to

say, sir, that you had a wife
and six children living in New

Y'jjrk, and had never seen one

o! them V
""Yes, sir, so stated it.""

. Another and a longer piuse

of sdenje ; then the interroga
tor again inquired s

""How ""ran it he, sir,"" that

you never saw one of thorn'?'
. ""Why,"" was the response

""one-of them was born alter !

left.""' ' : ' "" -;
""Oh ! ah !"" and a 1 genera

latmh followed : and after that

the New Yorker was esnei ially

uisiiuguisneu as tne tnan Who

""had sixr children atid novcr

k w","null","http://chroniclingamerica.loc.gov/lccn/sn87065521/1856-10-15/ed-1/seq-1/print/image_600x600_from_314%2C5998_to_4289%2C11485/","null","ca","1","1","null","The Panola star. ([Panola] Panola County, Miss.) 1856-1857"
"167721",8654262928151537664,321785,177,19970,28649,"News","null","1856-10-16","WO1_TEFP_1856_10_16-0006-020","WO1_TEFP_1856_10_16","null","TEFP","STORY.-"" SomO time since,
while stopping at the Su~ttr House, in Sacrament City, Call.
fornia, I accidentally overheard a conversation between two
gentlemen, one of whnom was from New York City, and ""had
beer. in the country nearly a year, and the other had just
arrived. The newr comer war lamenting his condition and
folly in leaving an abundance at home, and especially tw o
beautiful daughters, who were just budding into womanhood,
when he asked the New Yorker if he had a family. ""Yea,
Sir, I have a wife and six children in New York, and I never
saw one of them."" After this reply the couple sat a few
moments in silence; then the interrogator again commenced:
"" Were you ever blind, Sir?"" "" No, Sir."" "" Did you marry
a widow, Sir ?"" ""No Sir."" Anotber lapse of silence. ""Did
I understand you to say just now, Sir, that you had a wife and
six children in New York, and had never seen one of them ?""
""Yea, Sir, I so stated it."" Anbtber and a longer pause of
silence ; then the interregator again inquired, "" How can it
be, Sir, that you never saw one of them ?"" "" Why?"" was the
response, ""one of tIhem was born after I left."" "" Oh, ah'""
and a general laugh followed; sad after that the New Yorker
was especially distinguished as the man who "" had six children
and never saw one of them.""
SCRAPS FROM","VARIETIES.","null","null","gale-uk","null","null","null","Trewman's Exeter Flying Post"
"167722",-524452232755480768,321785,177,6952,7460,"Article","null","1856-10-16","aps/127014343","aps/35116/1856-10-16","eng","aps/35116","EXPLAINED.-l WO gentlemen from Now York, one of  had been in California nearly a year, and the  arrived, were accidentally overheard in the following conversation nt the Sutter House, Sacramento. I Did I understand you to say, sir, that you had a wife and six children living in New York, and had never seen one of them ' I Yes  1 stated it.' ' How can that be, sir, that you never saw one of them ?I I Why,' was the response, I one of thIe was born after I left.'
                 A","Variety.","http://search.proquest.com/docview/127014343/fulltext/","null","aps","null","null","null","The Youth's Companion (1827-1929)"
"167723",-7206179714893639680,321785,177,117368,126560,"null","null","1856-10-16","sn84028570/1856-10-16/ed-1/seq-1","sn84028570/1856-10-16/ed-1","null","sn84028570","Regularly Sold Out.

is
on
ol
o
per
the mon'h of January, 1860, while
slopping at Ihe Fuller -House, in Sucramen'o
citv, Cnl., I accidentally oveihearJ 0 conver
sation between Iwo gentlemen, one of whom
was from New Yurk city, and had been in the
country nearly a yeor, and Ihe other had just
arrived.
I he new comer was lamenting his rondi
linn, and bit- lolly in leaving an abundance at
home and especially two beautiful daughters,
who weie jiitt buciling mlo womttniinod
when he. asked the New Yorker if he had
family.
'Yissirfl have a wife and six children
r , . , . .. ..r i
After this reply, the couple sat a few mo
ments in silence, when the interrogator again
commenced.
""Was you ever bund, sir f
N.isrr.""
""Did you marry t widow, sir ?""
""No nr.""
Another lapse of. silence.
""Did I undertiiana vuu 10 fbv, uibi too iisu
a wife and six children living in New York,
anil have never seen one of tl.em ?""
""Yes sir I so staled it.
Another and longer pause of silence. Then
the interrogator again inquired!
How can il be sir, that you never saw one
of the in?""
Why."" was the response, ""one of them,
was born afu r I left.""
""Ok I ah 1"" 'and general lanch followed;
and after that the New Yorker was especially
distinguished os ibe man who had ""six chil­
dren snd never sow one of them,""

not
pa
tucb
the","null","http://chroniclingamerica.loc.gov/lccn/sn84028570/1856-10-16/ed-1/seq-1/print/image_600x600_from_1932%2C5405_to_2900%2C8501/","null","ca","1","1","null","Eaton Democrat. (Eaton, Ohio) 1843-1856"
"167724",6607368386857662464,321785,177,221688,230087,"News","null","1856-10-18","WO1_LVMR_1856_10_18-0008-033","WO1_LVMR_1856_10_18","null","LVMR","CUaRIOSITY REWAouDED.-At the Suittor House, Sacra­ vaess
ay maento, a New Yorker, newly ar-rived, was lamenting his one
ed condition, and his folly in leaving an abundance at home, cons
wae and especially two beautiful daughters, who were just burt!
'ol budding into womanhood, when he asked the other it he 300
ey had a family. "" Yes, sir ; I have a wife and six children Ey
or.in New York, and I never saw one of them."" After this man
cid reply the couple sat down in silence, and then the inter­ Four
he rogator again commenced. "" Were you aver blind, sir ?': Pad
he "" No, sir."" ""1Did you marry a widow, sir ?"" "" No, sir, toga
nd Another lapse of silence. ""DidlIunderstand youitosay, nai
as. sir, that you had a wife and six children living in New 32 V,
tgs York, and had never seen one of them ?"" "" Yes, sir, I will
ou so stated it."" Another and a longer pause of silence. Toxi
lus Then the interrogator again iniquired-"" How can it be, fro n
in sir, that you never saw one of them ?"" ""4Why,'"" was the
ar­ response, ""one of them was born after I left."" ""Oh Li
ii­ ahl "" and a general laugh followed. After that, the first gene
ng New Yorker was especially distinguished as ""1the man Cbs1
he who had six children and never saw one of them","SECOND EDITION.","null","null","gale-uk","null","null","null","Liverpool Mercury"
"167725",-4561317133020083712,321785,177,7527,8643,"Article","FIXED UP","1856-10-18","aps/126121031","aps/24149/1856-10-18","eng","aps/24149","Darltig the month of Janttaiy;1850; at the $ Hones in $ City, California, s  took place between two gentlemen, one of whom wan from Netv York city, and bad been fu the country  s year, the other had just arrived. The new comer wu lamenting his con- I , and his folly in leaving an abundance at home, and  two beautiful daughters who were just budding Into womanhood-when he asked tae New Yoiker if he had a family. ""Yea, air; I have a wife and   in New York-and I never saw one of them."" After this reply, the couple eat a few moments is ; then the interrogator again commenced :- ""Was you aver blind, air l"" ""No, air."" ""Did you marry a widow, air?"" ""No, air."" Another lapse of . ""Did I understand yon to nay, air, that_ yon had a wife and aiz  living is New York, and had never Been one of them."" ""Yea, air-I no stated it:' Another and longer pause of silence. Then the interrogator again in.  :- ""How can it be, air, that you never saw one of them ?"" ""Why,"" was the , ""one of Hunt wan born after I left:' Here is a","A COLUMN OR TWO OF FUN.","http://search.proquest.com/docview/126121031/fulltext/","null","aps","null","null","null","Spirit of the Times; A Chronicle of the Turf, Agriculture, Field Sports, Literature and the Stage (1835-1861)"
