bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	lc0	lc1	lc2	aLanguage	authorBirth_year
550559	eng	E471 .K48 1997	96039156	daysofdefiancesu00klei	0	nyu	1997	New York	Knopf	Days of defiance	1939	1997	Maury Klein	NULL	USA	NY	58	E	E	471	eng	1939
399930	eng	PZ7.M1905 Do 1997	96039174	dontbugmemolly00mack	0	mou	1997	"St. Louis, Mo"	Concordia Publishing House	"Don't bug me, Molly!"	NULL	NULL	Dandi Daley Mackall	NULL	USA	MO	NULL	P	PZ	7	eng	NULL
930639	eng	PR9499.3.R59 G63 1997	96039190	godofsmallthings00roya	0	nyu	1997	New York	Random House	The  god of small things	NULL	NULL	Arundhati Roy	NULL	USA	NY	NULL	P	PR	9499	eng	NULL
442248	eng	HF5547.15 .H45 1997	96039192	tamingpapertiger00hemp	35796447	dcu	1997	"Washington, D.C"	Kiplinger	Taming the paper tiger	NULL	1988	Barbara Hemphill	NULL	USA	DC	NULL	H	HF	5547	eng	NULL
286816	eng	E98.R3 H25 1997	96039201	nativeamericanre00hart	35723552	nyu	1997	"New York, NY"	Facts on File	Native American religions	NULL	1997	Paula Hartz	NULL	USA	NY	NULL	E	E	98	eng	NULL
683003	eng	BV4850 .R57 1997	96039219	lifeinrealworld500ritt	35770853	mou	1997	St. Louis	Concordia Pub. House	Life in the real world	1943	1997	Eileen Ritter	NULL	USA	MO	54	B	BV	4850	eng	1943
903537	eng	DS821 .S6424 1997	96039220	japanreinterpretsmi00smit	0	nyu	1997	New York	Pantheon Books	Japan : a reinterpretation	NULL	1997	"Smith, Patrick"	NULL	USA	NY	NULL	D	DS	821	eng	NULL
957314	eng	BF637.S8 R558 1997	96039232	unlimitedpowerbl00robb	35785664	nyu	1997	"New York, NY"	Simon & Schuster	Unlimited power	NULL	1986	"Robbins, Anthony."	NULL	USA	NY	NULL	B	BF	637	eng	NULL
968794	eng	RA395.A3 H4257 1997	96039278	healthpoliticspo00litm	0	nyu	1997	Albany	Delmar Publishers	Health politics and policy	NULL	NULL	NULL	NULL	USA	NY	NULL	R	RA	395	eng	NULL
702104	eng	R728.6 .P46 1997	96039279	capitationincali00penn	35771377	ilu	1997	"Chicago, IL"	Health Administration Press	Capitation in California	NULL	1997	Maurice J. Penner	NULL	USA	IL	NULL	R	R	728	eng	NULL
597443	eng	QB500.22 .B66 1997	96039281	sciencefairproje00bonn	35792225	nyu	1997	New York	Sterling Pub. Co.	Science fair projects	NULL	1995	Robert L. Bonnet	NULL	USA	NY	NULL	Q	QB	500	eng	NULL
35058	eng	R733 .A43 1997	96039297	completebookofco00albr	0	pau	1997	"Allentown, PA"	People's Medical Society	The complete book of complementary therapies	1926	1997	Peter Albright	NULL	USA	PA	71	R	R	733	eng	1926
453801	eng	PS3563.E747 D25 1997	96039331	dancingfloor00mich	0	nyu	1997	New York	HarperCollinsPublishers	The dancing floor	1927	1997	Barbara Michaels	NULL	USA	NY	70	P	PS	3563	eng	1927
403743	eng	PS3553.O9196 V46 1997	96039349	venturebusinessn00coxj	35792229	nyu	1997	"New York, NY"	Warner Books	The venture	1951	NULL	"Cox, Jeff"	NULL	USA	NY	46	P	PS	3553	eng	1951
167107	eng	PS3569.A459527 B44 1997	96039350	beholdfire00sali	0	nyu	1997	New York	Warner Books	Behold the fire	NULL	1997	Steven D. Salinger	NULL	USA	NY	NULL	P	PS	3569	eng	NULL
174982	eng	RJ506.S55 M54 1997	96039372	sleepingthroughn00mind	0	nyu	1997	New York	HarperPerennial	Sleeping through the night	NULL	1997	Jodi A. Mindell	NULL	USA	NY	NULL	R	RJ	506	eng	NULL
221106	eng	E185.96 .L255 1997	96039376	profilesofblacks00land	35829029	nyu	1997	"Amherst, N.Y"	Prometheus Books	Profiles of Black success	NULL	NULL	Gene N. Landrum	NULL	USA	NY	NULL	E	E	185	eng	NULL
949610	eng	HQ777.4 .S38 1997	96039439	teenswithsinglep00shul	35910115	nju	1997	"Springfield, NJ, USA"	Enslow Publishers	Teens with single parents	NULL	1997	Margaret A. Shultz	NULL	USA	NJ	NULL	H	HQ	777	eng	NULL
147625	eng	PS3573.A815 G58 1997	96039465	glimmer00wate	0	nyu	1997	New York	Putnam	Glimmer	NULL	1997	Annie Waters	NULL	USA	NY	NULL	P	PS	3573	eng	NULL
957315	eng	ZA4201 .G76 1997	96039488	writersguidetoin00grov	0	oru	1997	"Wilsonville, OR"	"Franklin, Beedle & Associates"	The writer's guide to the internet	1955	1997	Dawn Groves	NULL	USA	OR	42	Z	ZA	4201	eng	1955
899746	eng	HQ18.U5 R65 1997	96039508	lastnightinparad00roip	0	mau	1997	Boston	"Little, Brown"	Last night in paradise	NULL	1997	Katie Roiphe	NULL	USA	MA	NULL	H	HQ	18	eng	NULL
802722	eng	HQ755.85 .S25 1997	96039529	mothersdaughters00sali	35885125	nyu	1997	New York	Doubleday	Mothers & daughters	NULL	1997	Carol Saline	NULL	USA	NY	NULL	H	HQ	755	eng	NULL
938014	eng	E185.615 .H277 1997	96039536	dualagendaraceso00hami	0	nyu	1997	New York	Columbia University Press	The dual agenda	NULL	1997	Dona C. Hamilton	NULL	USA	NY	NULL	E	E	185	eng	NULL
554542	eng	GV191.35 .S56 1997	96039555	bigbookofadventu00simm	35848982	nmu	1997	"Santa Fe, N.M"	J. Muir Publications	The big book of adventure travel	1939	1990	James C. Simmons	NULL	USA	NM	58	G	GV	191	eng	1939
791070	eng	HQ755.85 .J65 1997	96039556	friendsforlifeen00jona	35885210	nyu	1997	New York	William Morrow & Co.	Friends for life	NULL	1997	Susan Jonas	NULL	USA	NY	NULL	H	HQ	755	eng	NULL
178996	eng	HV6248.M6493 J46 1997	96039577	blindvengeancero00jenk	35910293	gau	1997	Athens	University of Georgia Press	Blind vengeance	1930	1997	Ray Jenkins	NULL	USA	GA	67	H	HV	6248	eng	1930
991723	eng	RC488.5 .G535 1998	96039579	familytherapyhis00glad	0	nju	1998	"Upper Saddle River, N.J"	Merrill	Family therapy	NULL	1995	Samuel T. Gladding	NULL	USA	NJ	NULL	NULL	RC	488	eng	NULL
652049	eng	BV4527 .J68 1997	96039584	joyfuljourney00clai	35910330	miu	1997	"Grand Rapids, MI"	Zondervan	The joyful journey	NULL	NULL	Patsy Clairmont	NULL	USA	MI	NULL	B	BV	4527	eng	NULL
128432	eng	ML420.T897 A3 1997	96039594	nickeldreamsmyli00tuck	0	nyu	1997	New York	Hyperion	Nickel dreams	NULL	1997	Tanya Tucker	NULL	USA	NY	NULL	M	ML	420	eng	NULL
632471	eng	GV885.52.C4 I83 1997	96039619	charlottehornets00ital	35990187	mnu	1997	"Edina, MN"	Abdo & Daughters	Charlotte Hornets	1955	1997	Bob Italia	NULL	USA	MN	42	G	GV	885	eng	1955
247998	eng	BF697.5.S47 B44 1997	96039644	stopbeingmeantoy00beat	0	cau	1997	"[San Francisco, CA]"	HarperSanFrancisco	Stop being mean to yourself	NULL	NULL	Melody Beattie	NULL	USA	CA	NULL	B	BF	697	eng	NULL
31038	eng	AM215 .H58 1999	99214299	collectorsguidet00hixn	41264338	kyu	1999	"Paducah, Ky"	Collector Books	"Collector's guide to buying, selling, and trading on the Internet"	NULL	NULL	Nancy L. Hix	NULL	USA	KY	NULL	A	AM	215	eng	NULL
38782	eng	RG186 .S6613 1997	96039670	estrogennaturalw00shan	0	nyu	1997	New York	Villard Books	Estrogen	NULL	1997	Nina Shandler	NULL	USA	NY	NULL	R	RG	186	eng	NULL
991724	eng	RA778 .L949 1997	96039677	joanlundensheal00lund	35925025	nyu	1997	New York	Crown Publishers	Joan Lunden's healthy living	NULL	1997	Joan Lunden	NULL	USA	NY	NULL	NULL	RA	778	eng	NULL
783138	eng	TF238.C4 F4 1997	96039681	chunnelamazingst00feth	0	nyu	1997	New York	Times Books	The Chunnel	NULL	1997	Drew Fetherston	NULL	USA	NY	NULL	T	TF	238	eng	NULL
46683	eng	RM222.2 .L5343 1997	96039700	naturallyslimpow00lipe	35986205	mou	1997	Kansas City [Mo.]	Andrews and McMeel	Naturally slim and powerful	NULL	1997	Philip Lipetz	NULL	USA	MO	NULL	R	RM	222	eng	NULL
991725	eng	HC102.5.A2 A95 1997	96039714	highwaymenwarrio00aule	0	nyu	1997	New York	Random House	The highwaymen	NULL	1997	Ken Auletta	NULL	USA	NY	NULL	NULL	HC	102	eng	NULL
841741	eng	DS526.6 .K43 1997	96039725	empiresendhistor00keay	0	nyu	1997	New York	Scribner	Empire's end	NULL	NULL	John Keay	NULL	USA	NY	NULL	D	DS	526	eng	NULL
581872	eng	HD58.7 .F696 1997	96039740	passportphilippi00fran	35986208	cau	1997	"San Rafael, Calif., USA"	World Trade Press	Passport Philippines	1945	1997	Luis Francia	NULL	USA	CA	52	H	HD	58	eng	1945
353272	eng	HD30.19 .A53 1997	96039762	systemsthinkingb00ande	35978642	mau	1997	"Cambridge, Mass"	Pegasus Communications	Systems thinking basics	1947	1997	Virginia Anderson	NULL	USA	MA	50	H	HD	30	eng	1947
884367	eng	E99.C6 L83 1997	96039765	ojibwaindians00lund	0	mnu	1997	"Mankato, Minn"	Bridgestone Books	The Ojibwa Indians	1954	1997	Bill Lund	NULL	USA	MN	43	E	E	99	eng	1954
648144	eng	E99.C85 L86 1997	96039766	comancheindians00lund	0	mnu	1997	"Mankato, Minn"	Bridgestone Books	The Comanche Indians	1954	1997	Bill Lund	NULL	USA	MN	43	E	E	99	eng	1954
426929	eng	E99.C5 L93 1997	96039767	cherokeeindians00lund	0	mnu	1997	"Mankato, Minn"	Bridgestone Books	The Cherokee Indians	1954	1997	Bill Lund	NULL	USA	MN	43	E	E	99	eng	1954
640358	eng	BF724.85.S45 R35 1997	96039771	timetolivesevent00rain	36017062	nyu	1997	New York	Dutton	A time to live	NULL	1997	Robert Arnold Raines	NULL	USA	NY	NULL	B	BF	724	eng	NULL
907593	eng	HQ734 .W85 1997	96039772	howtostayloversf00wolf	35955143	nyu	1997	New York	Dutton	How to stay lovers for life	NULL	1997	Sharyn Wolf	NULL	USA	NY	NULL	H	HQ	734	eng	NULL
613044	eng	HQ759 .H39 1997	96039776	heartstringsofla00gibb	35986211	txu	1997	Dallas	Word	Heartstrings of laughter & love	NULL	NULL	Terri A. Gibbs	NULL	USA	TX	NULL	H	HQ	759	eng	NULL
991726	eng	ML3502.A785 L6 1998	96039802	danceoflifepopul00lock	0	hiu	1998	"Honolulu, HI"	University of HawaiæÈi Press	Dance of life	NULL	1998	Craig A. Lockard	NULL	USA	HI	NULL	NULL	ML	3502	eng	NULL
709862	eng	BT746 .A54 1997	99214314	whatmycathastaug00ande	37810526	oku	1997	"Tulsa, Okla"	Honor Books	What my cat has taught me about life	NULL	NULL	Niki Anderson	NULL	USA	OK	NULL	B	BT	746	eng	NULL
267348	eng	PS3563.O36 M38 1997	96039826	matterofprideoth00mohr	0	txu	1997	"Houston, Tex"	Arte Publico Press	A Matter of pride and other stories	NULL	1997	Nicholasa Mohr	NULL	USA	TX	NULL	P	PS	3563	eng	NULL
736565	eng	D16.8 .B3292 1997	96039829	senseofrealityst00berl	0	nyu	1997	New York	"Farrar, Straus and Giroux"	The sense of reality	NULL	NULL	"Berlin, Isaiah Sir."	NULL	USA	NY	NULL	D	D	16	eng	NULL
880417	eng	RA776.5 .J5636 1997	96039847	justweighyouareh00jona	35978677	vtu	1997	"Shelburne, Vt"	Chapters Pub.	Just the weigh you are	NULL	NULL	Steven Jonas	NULL	USA	VT	NULL	R	RA	776	eng	NULL
361015	eng	PC4112.5 .P7 1997	96039865	practicalspanish00prad	0	nyu	1997	New York	J. Wiley	Practical Spanish grammar	1933	1983	Marcial Prado	NULL	USA	NY	64	P	PC	4112	eng	1933
65941	eng	HE7775 .S55 1997	96039882	foreigninvestmen00sida	0	ilu	1997	Chicago	University of Chicago Press	Foreign investment in American telecommunications	NULL	1997	J. Gregory Sidak	NULL	USA	IL	NULL	H	HE	7775	eng	NULL
271368	eng	F897.O5 N45 1997	96039888	olympicnationalp00nels	36051175	nyu	1997	New York	Children's Press	Olympic National Park	NULL	1997	Sharlene P. Nelson	NULL	USA	NY	NULL	F	F	897	eng	NULL
573929	eng	HG4530 .C565 1997	96039898	gettingstartedin00cole	0	enk	1997	"Chichester, England"	Wiley	Getting started in unit and investment trusts	NULL	1997	Robert Cole	NULL	UK	NULL	NULL	H	HG	4530	eng	NULL
620791	eng	QR180.4 .E53 1998	96039910	encyclopediaofim00delv	0	cau	1998	San Diego	Academic Press	Encyclopedia of immunology	NULL	NULL	NULL	NULL	USA	CA	NULL	Q	QR	180	eng	NULL
991727	eng	RC388.5 .V44 1997	96039914	canyouhearclappi00veit	36037837	nju	1997	"Northvale, N.J"	"Jason Aronson, Inc."	Can you hear the clapping of one hand?	NULL	1988	Ilza Veith	NULL	USA	NJ	NULL	NULL	RC	388	eng	NULL
976534	eng	PN6231.D3 B37 1997	96039972	breakingruleslas00bank	36029653	nju	1997	"Franklin Lakes, NJ"	Career Press	Breaking the rules	1956	1997	Laura Banks	NULL	USA	NJ	41	P	PN	6231	eng	1956
991728	eng	PN56.W3 S58 1998	96040039	stillwedancedfor00sonn	0	dcu	1998	Washington [D.C.]	Brassey's	Still we danced forward	1959	1998	Rhonda Sonnenberg	NULL	USA	DC	39	NULL	PN	56	eng	1959
240231	eng	PN6231.K55 K43 1997	96040058	littlegiantbooko00kell	36074363	nyu	1997	New York	Sterling	Little giant book of knock-knocks	NULL	NULL	Charles Keller	NULL	USA	NY	NULL	P	PN	6231	eng	NULL
476844	eng	PZ7.W1337 Le 1997	96040087	legendofcandycan00walb	36143563	miu	1997	"Grand Rapids, Mich"	Zondervan Pub.	The legend of the candy cane	NULL	1997	Lori Walburg	NULL	USA	MI	NULL	P	PZ	7	eng	NULL
798721	eng	HF5382.7 .O57 1997	96040123	getthatjob00oppl	36045977	nyu	1997	"Syracuse, N.Y"	Signal Hill Publications	Get that job!	1929	1997	Jurg Oppliger	NULL	USA	NY	68	H	HF	5382	eng	1929
531330	eng	HG179 .C6657 1997	96040124	controlyourmoney00syra	0	nyu	1997	"Syracuse, N.Y"	Signal Hill Publications	Control your money.	NULL	NULL	NULL	NULL	USA	NY	NULL	H	HG	179	eng	NULL
186736	eng	PS3562.A256 U53 1997	96040158	underdistantsky00lacy	36051200	oru	1997	"Sisters, Or"	Multnomah Books	Under the distant sky	NULL	NULL	Al Lacy	NULL	USA	OR	NULL	P	PS	3562	eng	NULL
732920	eng	PS3551.L764 M4 1997	96040161	megnovelofdeept00alte	0	nyu	1997	New York	Doubleday	Meg	NULL	1997	Steve Alten	NULL	USA	NY	NULL	P	PS	3551	eng	NULL
62111	eng	PF3112.5 .T39 1997	96040171	germanselfteachi00tayl	36065995	nyu	1997	New York	Wiley	German	NULL	1997	Heimy F. Taylor	NULL	USA	NY	NULL	P	PF	3112	eng	NULL
302246	eng	Z52.5.M523 B6684 1997	96040186	runningmicrosoft00borl	0	wau	1997	"Redmond, Wash"	Microsoft Press	Running Microsoft Word 97	1946	1997	Russell Borland	NULL	USA	WA	51	Z	Z	52	eng	1946
255686	eng	RM222.2 .A754 1997	96040190	drbobarnotsrevol00arno	36051204	mau	1997	Boston	"Little, Brown"	Dr. Bob Arnot's revolutionary weight control program	NULL	NULL	Robert Burns Arnot	NULL	USA	MA	NULL	R	RM	222	eng	NULL
46684	eng	DK508.515 .B37 2000	96040207	ukraine00bass	0	nyu	2000	New York	Marshall Cavendish	Ukraine	NULL	1998	Volodymyr Bassis	NULL	USA	NY	NULL	D	DK	508	eng	NULL
174983	eng	RM222.2 .S467 1997	96040222	weighdowndiet00sham	36086792	nyu	1997	New York	Doubleday	The weigh down diet	NULL	NULL	Gwen Shamblin	NULL	USA	NY	NULL	R	RM	222	eng	NULL
7802	eng	QL737.P98 P74 1997	96040241	elephantwomancyn00prin	36112042	nyu	1997	New York	Atheneum Books	Elephant woman	NULL	NULL	Laurence P. Pringle	NULL	USA	NY	NULL	Q	QL	737	eng	NULL
550560	eng	HQ536 .D64 1997	96040283	intentionalfamil00dohe	36103942	mau	1997	"Reading, Mass"	Addison-Wesley Publishing	The intentional family	1945	NULL	"Doherty, William J."	NULL	USA	MA	52	H	HQ	536	eng	1945
310125	eng	HQ76.2.U52 W477 1997	96040290	riskysexgaymenhi00turn	0	nyu	1997	New York	Columbia University Press	Risky sex	1960	1997	Dwayne Curtis Turner	NULL	USA	NY	37	H	HQ	76	eng	1960
991729	eng	LB1025.3 .M45 1997	96040291	learninginsmallm00meie	0	nyu	1997	New York	Teachers College Press	Learning in small moments	NULL	1997	Daniel R. Meier	NULL	USA	NY	NULL	NULL	LB	1025	eng	NULL
806599	eng	HV881 .T67 1997	96040316	orphansoflivings00toth	0	nyu	1997	"New York, NY"	Simon & Schuster	Orphans of the living	NULL	1997	Jennifer Toth	NULL	USA	NY	NULL	H	HV	881	eng	NULL
282996	eng	BX5199.H813 R53 1997	96040326	richardhookercon00mcgruoft	0	azu	1997	"Tempe, AZ"	Medieval & Renaissance Texts & Studies	Richard Hooker and the construction of Christian community	NULL	NULL	NULL	165288	USA	AZ	NULL	B	BX	5199	eng	NULL
783139	eng	PS3558.A6242955 O48 199	96040345	offfaceofearth00harm	0	nyu	1997	New York	Scribner	Off the face of the earth	NULL	1997	Aljean Harmetz	NULL	USA	NY	NULL	P	PS	3558	eng	NULL
442249	eng	DT275 .K34 1997	96040373	algeriak00kagd	0	nyu	1997	New York	Marshall Cavendish	Algeria	NULL	1997	Falaq Kagda	NULL	USA	NY	NULL	D	DT	275	eng	NULL
259655	eng	BL438.2 .O56 1997	96040387	oneearthonespiri00stri	36159068	cau	1997	"San Francisco, Calif"	Sierra Club Books for Children	"One earth, one spirit"	NULL	NULL	Tessa Strickland	NULL	USA	CA	NULL	B	BL	438	eng	NULL
446145	eng	HF5549.5.C67 R63 1997	96040388	managingyour401k00robi	36112057	vau	1997	"Alexandria, Va"	Time-Life Books	Managing your 401(k)	1955	1997	"Robinson, Marc"	NULL	USA	VA	42	H	HF	5549	eng	1955
903538	eng	HQ1063.2.U6 W349 1997	96040390	yournextfiftyyea00wall	36133243	nyu	1997	New York	Henry Holt	Your next fifty years	NULL	1997	Ginita Wall	NULL	USA	NY	NULL	H	HQ	1063	eng	NULL
492285	eng	HG4527 .D767 1997	96040392	howtoinvest5050000dunn	36130666	nyu	1997	New York	HarperPerennial	"How to invest $50-$5,000"	NULL	NULL	Nancy Dunnan	NULL	USA	NY	NULL	H	HG	4527	eng	NULL
345418	eng	PN1042 .A35 1997	96040451	poetscompaniongu00addo	0	nyu	1997	New York	W.W. Norton	The Poet's companion	1954	NULL	Kim Addonizio	NULL	USA	NY	43	P	PN	1042	eng	1954
519641	eng	BS2860.N6 M43 1997	96040460	medievalgospelof00izyduoft	0	azu	1997	"Tempe, Ariz"	Medieval & Renaissance Texts & Studies	Medieval Gospel of Nicodemus	NULL	NULL	NULL	219423	USA	AZ	NULL	B	BS	2860	eng	NULL
515565	eng	PZ7.K8594 Wal 1997	96040477	walksinbeauty00kran	0	azu	1997	"Flagstaff, AZ"	"Rising Moon, Books for Young Readers from Northland Pub."	Walks in Beauty	NULL	1997	Hazel Krantz	NULL	USA	AZ	NULL	P	PZ	7	eng	NULL
461353	eng	NA6233.N5 E53 1998	96040483	empirestatebuild00dohe	0	ctu	1998	"Woodbridge, Conn"	Blackbirch Press	The Empire State Building	NULL	1998	Craig A. Doherty	NULL	USA	CT	NULL	N	NA	6233	eng	NULL
554543	eng	CC176 .B37 1998	96040495	searchforlostcit00barb	36165078	txu	1998	"Austin, Tex"	Raintree Steck-Vaughn	The search for lost cities	NULL	NULL	Nicola Barber	NULL	USA	TX	NULL	C	CC	176	eng	NULL
991730	eng	TX715.2.C34 C384 1997	96040514	foodfestivalsofn00cart	36165081	mtu	1997	"Helena, Mont"	Falcon Press	Food festivals of Northern California	1932	1997	"Carter, Bob"	NULL	USA	MT	65	NULL	TX	715	eng	1932
880418	eng	BV4529.2 .O25 1997	96040857	excusemeilltakem00ocon	35785691	miu	1997	"Grand Rapid, Mich"	Baker Books	Excuse me!	1964	1997	"O'Connor, Joey"	NULL	USA	MI	33	B	BV	4529	eng	1964
740437	eng	RC630 .I59 1997	96040891	fluidselectrolyt00inne	35815213	pau	1997	"Springhouse, Pa"	Springhouse Corp.	Fluids and electrolytes	NULL	1990	Sheryl A. Innerarity	NULL	USA	PA	NULL	R	RC	630	eng	NULL
810484	eng	RC557 .S312 1997	96040893	passionatemarria00schn	0	nyu	1997	New York	W.W. Norton	Passionate marriage	1946	1997	David Morris Schnarch	NULL	USA	NY	51	R	RC	557	eng	1946
225048	eng	PR9199.3.F518 M57 1997	96040901	missingpieces00fiel	0	nyu	1997	New York	Doubleday	Missing pieces	NULL	NULL	Joy Fielding	NULL	USA	NY	NULL	P	PR	9199	eng	NULL
652050	eng	PS3569.T546 M55 1997	96040935	millersboltmoder00stir	0	mau	1997	"Reading, Mass"	Addison-Wesley	Miller's bolt	NULL	1997	Thomas Stirr	NULL	USA	MA	NULL	P	PS	3569	eng	NULL
891799	eng	BV265 .A45 1998	96040944	allgodschildrenb00hopk	35835725	cau	1998	San Diego	Harcourt Brace	All God's children	NULL	NULL	NULL	NULL	USA	CA	NULL	B	BV	265	eng	NULL
267349	eng	TK5105.888 .L443 1997	96040955	introducingmicro00leht	0	wau	1997	"Redmond, Wash"	Microsoft Press	Introducing Microsoft FrontPage 97	1966	1997	Kerry A. Lehto	NULL	USA	WA	31	T	TK	5105	eng	1966
217246	eng	BF637.S8 W47 1997	96041068	mentoringmostobv00wick	0	ilu	1997	Chicago	Irwin Professional Pub.	Mentoring	NULL	1997	Floyd Wickman	NULL	USA	IL	NULL	B	BF	637	eng	NULL
453802	eng	ML420.S915 E4 1997	96041091	streisandbiograp00edwa	0	mau	1997	Boston	"Little, Brown"	Streisand	1927	1997	"Edwards, Anne"	NULL	USA	MA	70	M	ML	420	eng	1927
991731	eng	HQ1220.U5 A47 1997	96041100	beautypageantsti00alte	35559050	nyu	1997	New York	Franklin Watts	Beauty pageants	1938	NULL	Judy Alter	NULL	USA	NY	59	NULL	HQ	1220	eng	1938
991732	eng	RJ411 .H46 1998	96041120	nathanoskishemat02nath	0	pau	1998	Philadelphia	W.B. Saunders	Nathan and Oski's hematology of infancy and childhood	1929	NULL	David G. Nathan	NULL	USA	PA	69	NULL	RJ	411	eng	1929
601370	eng	QA76.76.H94 L34 1997	96041130	homepageintroduc00lamp	0	nyu	1997	New York	Franklin Watts	Home page	NULL	1997	Christopher Lampton	NULL	USA	NY	NULL	Q	QA	76	eng	NULL
895872	eng	HF5548.32 .K35 1997	96041134	electroniccommer00kala	0	mau	1997	"Reading, Mass"	Addison-Wesley	Electronic commerce	NULL	1997	Ravi Kalakota	NULL	USA	MA	NULL	H	HF	5548	eng	NULL
